出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1150217","11501","1240","茂生農經","農業科技","216068","240962","231435","-10.33108954938953","-6.639877287359302","216068","231435","-6.639877287359302","-"
"1150217","11501","1259","安心","觀光餐旅","510795","507963","532865","0.5575209217994224","-4.141761984742852","510795","532865","-4.141761984742852","-"
"1150217","11501","1264","德麥","食品工業","720821","685986","681442","5.078091972722476","5.778775009465222","720821","681442","5.778775009465222","-"
"1150217","11501","1268","漢來美食","觀光餐旅","650457","554147","781931","17.379864909491523","-16.814015558917603","650457","781931","-16.814015558917603","-"
"1150217","11501","1294","漢田生技","食品工業","90427","83640","41491","8.11453849832616","117.94365043021378","90427","41491","117.94365043021378","本月營收較去年同期增加，主係市場需求增加所致。"
"1150217","11501","1295","生合","食品工業","81085","106769","70889","-24.05567159006828","14.383049556348658","81085","70889","14.383049556348658","-"
"1150217","11501","1336","台翰","電子零組件業","196914","180527","200232","9.077312534967069","-1.657077789763874","196914","200232","-1.657077789763874","-"
"1150217","11501","1565","精華","生技醫療業","310973","323254","331061","-3.7991795925185765","-6.06776394682551","310973","331061","-6.06776394682551","-"
"1150217","11501","1569","濱川","電腦及週邊設備業","241493","252264","256388","-4.2697332952779625","-5.809554269310576","241493","256388","-5.809554269310576","-"
"1150217","11501","1570","力肯","電機機械","44781","7049","55007","535.2816002269825","-18.590361226752957","44781","55007","-18.590361226752957","-"
"1150217","11501","1580","新麥","電機機械","430388","422961","381500","1.7559538586299919","12.814678899082569","430388","381500","12.814678899082569","-"
"1150217","11501","1584","精剛","其他","214208","212601","223960","0.7558760306865913","-4.35434899089123","214208","223960","-4.35434899089123","-"
"1150217","11501","1586","和勤","電機機械","218429","208815","186978","4.604075377726696","16.820695482891036","218429","186978","16.820695482891036","-"
"1150217","11501","1591","駿吉-KY","電機機械","44016","26971","3965","63.19750843498573","1010.1134930643127","44016","3965","1010.1134930643127","本期銷售數量增加所致"
"1150217","11501","1593","祺驊","運動休閒","115822","136164","96230","-14.93933785728974","20.359555232256053","115822","96230","20.359555232256053","-"
"1150217","11501","1595","川寶","電子零組件業","58304","68642","51999","-15.06074997814749","12.125233177561107","58304","51999","12.125233177561107","-"
"1150217","11501","1599","宏佳騰","電機機械","213510","122881","152660","73.75346880315102","39.85981920607887","213510","152660","39.85981920607887","-"
"1150217","11501","1742","台蠟","化學工業","6303","6505","11451","-3.105303612605688","-44.95677233429395","6303","11451","-44.95677233429395","-"
"1150217","11501","1777","生泰","生技醫療業","86700","82770","96463","4.748097136643712","-10.12097902822844","86700","96463","-10.12097902822844","-"
"1150217","11501","1781","合世","生技醫療業","37098","44695","52513","-16.997427005257858","-29.3546359948965","37098","52513","-29.3546359948965","-"
"1150217","11501","1784","訊聯","生技醫療業","106817","146406","86452","-27.04055844705818","23.55642437421922","106817","86452","23.55642437421922","-"
"1150217","11501","1785","光洋科","其他電子業","4662202","4194415","2779797","11.152616038231791","67.71735490037582","4662202","2779797","67.71735490037582","貴金屬營收年增率79%，VAS營收年增率21%"
"1150217","11501","1788","杏昌","生技醫療業","420924","392251","369859","7.309860268042656","13.806612790279539","420924","369859","13.806612790279539","-"
"1150217","11501","1796","金穎生技","食品工業","54413","61869","61025","-12.051269618063975","-10.834903727980336","54413","61025","-10.834903727980336","-"
"1150217","11501","1799","易威","生技醫療業","77447","67497","32238","14.74139591389247","140.2351262485266","77447","32238","140.2351262485266","因新藥/學名藥產品出貨較去年同期增多，故營收成長。"
"1150217","11501","1813","寶利徠","生技醫療業","28118","27837","23070","1.0094478571685168","21.88123103597746","28118","23070","21.88123103597746","-"
"1150217","11501","1815","富喬","電子零組件業","570799","499035","478925","14.380554470127345","19.18337944354544","570799","478925","19.18337944354544","-"
"1150217","11501","2035","唐榮公司","鋼鐵工業","917938","840906","635256","9.160595833541443","44.49891067538126","917938","635256","44.49891067538126","-"
"1150217","11501","2061","風青","電器電纜","132378","120000","92395","10.315","43.27398668759132","132378","92395","43.27398668759132","-"
"1150217","11501","2063","世鎧精密","鋼鐵工業","65803","90066","79447","-26.9391335243044","-17.17371329313882","65803","79447","-17.17371329313882","-"
"1150217","11501","2064","晉椿","鋼鐵工業","153852","115613","112148","33.07500021623866","37.18657488319007","153852","112148","37.18657488319007","-"
"1150217","11501","2065","世豐","鋼鐵工業","180374","218752","185435","-17.5440681685196","-2.7292582306468574","180374","185435","-2.7292582306468574","-"
"1150217","11501","2066","世德","電機機械","238572","166574","234176","43.222831894533364","1.8772205520634053","238572","234176","1.8772205520634053","-"
"1150217","11501","2067","嘉鋼","電機機械","87856","96694","65271","-9.140174157651975","34.60189057927717","87856","65271","34.60189057927717","-"
"1150217","11501","2070","精湛","電機機械","46109","92780","40492","-50.302866997197675","13.871875926108862","46109","40492","13.871875926108862","-"
"1150217","11501","2073","雄順","鋼鐵工業","42327","49152","39578","-13.885498046875","6.945777957451109","42327","39578","6.945777957451109","-"
"1150217","11501","2221","大甲","其他","133931","119127","99414","12.427073627305314","34.72046190677369","133931","99414","34.72046190677369","-"
"1150217","11501","2230","泰茂","電機機械","256031","295349","237655","-13.31238636325161","7.732216868990764","256031","237655","7.732216868990764","-"
"1150217","11501","2235","謚源","電機機械","51770","42401","35691","22.09617697695809","45.050572973578774","51770","35691","45.050572973578774","-"
"1150217","11501","2596","綠意","建材營造","4439","399237","150728","-98.88812910627021","-97.054959927817","4439","150728","-97.054959927817","本月適逢建案完工與遞交客戶之作業過渡期，故115年1月營收較去年同期減少。"
"1150217","11501","2640","大車隊","數位雲端","286433","288404","283296","-0.6834163187750517","1.1073223765955043","286433","283296","1.1073223765955043","-"
"1150217","11501","2641","正德","航運業","217124","209695","162719","3.5427644912849616","33.43493998856925","217124","162719","33.43493998856925","-"
"1150217","11501","2643","捷迅","航運業","674573","754367","571363","-10.577610102244664","18.063822823669017","674573","571363","18.063822823669017","-"
"1150217","11501","2718","全心投控","建材營造","48686","30604","370","59.08377989805254","13058.378378378378","48686","370","13058.378378378378","配合銷售個案交屋認列收入"
"1150217","11501","2719","燦星旅","觀光餐旅","162849","131108","239336","24.20981175824511","-31.95800046796136","162849","239336","-31.95800046796136","114及115年春節旺季分別為1月份及2月份"
"1150217","11501","2724","藝舍-KY","其他","16049","23702","11769","-32.28841447979074","36.36672614495709","16049","11769","36.36672614495709","-"
"1150217","11501","2726","雅茗-KY","觀光餐旅","41677","39762","54052","4.816156128967355","-22.894619995559832","41677","54052","-22.894619995559832","-"
"1150217","11501","2729","瓦城","觀光餐旅","476289","495057","680590","-3.7910786030699497","-30.018219486034177","476289","680590","-30.018219486034177","-"
"1150217","11501","2732","六角","觀光餐旅","422738","415568","321263","1.7253494013013515","31.586270438861618","422738","321263","31.586270438861618","-"
"1150217","11501","2734","易飛網","觀光餐旅","143207","134091","139526","6.798368272292697","2.63821796654387","143207","139526","2.63821796654387","-"
"1150217","11501","2736","富野","觀光餐旅","41076","56891","53938","-27.798773092404772","-23.845897141162077","41076","53938","-23.845897141162077","-"
"1150217","11501","2740","華軒","觀光餐旅","6326","6595","17762","-4.0788476118271415","-64.38464136921517","6326","17762","-64.38464136921517","差異原因為門店數及商品銷售金額均較去年同期減少"
"1150217","11501","2743","山富","觀光餐旅","535844","477576","552320","12.200780608740807","-2.983053302433372","535844","552320","-2.983053302433372","-"
"1150217","11501","2745","五福","觀光餐旅","685880","633259","702639","8.309554226627652","-2.3851508384817808","685880","702639","-2.3851508384817808","-"
"1150217","11501","2751","王座","觀光餐旅","163728","169217","133930","-3.243763924428397","22.248936011349212","163728","133930","22.248936011349212","-"
"1150217","11501","2752","豆府","觀光餐旅","372804","367938","377014","1.3225054221091597","-1.1166694075021086","372804","377014","-1.1166694075021086","-"
"1150217","11501","2754","亞洲藏壽司","觀光餐旅","485127","463966","491784","4.560894548307419","-1.353643062808062","485127","491784","-1.353643062808062","-"
"1150217","11501","2755","揚秦","觀光餐旅","295746","285628","240462","3.5423697956782947","22.99074282007136","295746","240462","22.99074282007136","-"
"1150217","11501","2756","聯發國際","觀光餐旅","99696","111018","65502","-10.198346214127438","52.20298616836127","99696","65502","52.20298616836127","因新品牌業務拓展成效良好，使加盟營收成長。"
"1150217","11501","2916","滿心","居家生活","211218","180322","273780","17.13379399074988","-22.851194389655927","211218","273780","-22.851194389655927","-"
"1150217","11501","2924","宏太-KY","居家生活","9671","11922","3891","-18.8810602247945","148.5479311231046","9671","3891","148.5479311231046","因本期越南子公司依完比法認列工程收入金額較高所致"
"1150217","11501","2926","誠品生活","文化創意業","590965","719085","584489","-17.81708699249741","1.1079763691018993","590965","584489","1.1079763691018993","-"
"1150217","11501","2937","集雅社","居家生活","474378","641449","478038","-26.045874262801874","-0.7656295106246783","474378","478038","-0.7656295106246783","-"
"1150217","11501","2941","米斯特","居家生活","83748","79052","117798","5.940393664929413","-28.905414353384607","83748","117798","-28.905414353384607","-"
"1150217","11501","2947","振宇五金","居家生活","212067","200105","204934","5.97786162264811","3.480632789093074","212067","204934","3.480632789093074","-"
"1150217","11501","2948","寶陞","居家生活","179663","156926","164405","14.488994812841721","9.280739636872358","179663","164405","9.280739636872358","-"
"1150217","11501","2949","欣新網","數位雲端","432552","491040","345744","-11.911045943304007","25.107594058031374","432552","345744","25.107594058031374","-"
"1150217","11501","3064","泰偉","文化創意業","6447","6313","7131","2.1226041501663233","-9.591922591501893","6447","7131","-9.591922591501893","-"
"1150217","11501","3066","李洲","光電業","28216","17068","19433","65.31520974923833","45.1963155457212","28216","19433","45.1963155457212","-"
"1150217","11501","3067","全域","其他電子業","6512","5647","7400","15.317867894457233","-12.0","6512","7400","-12.0","-"
"1150217","11501","3071","協禧","電腦及週邊設備業","244679","228118","194933","7.259839206024952","25.519537482109236","244679","194933","25.519537482109236","-"
"1150217","11501","3073","天方能源","綠能環保","45054","12269","3923","267.21819219170266","1048.457812898292","45054","3923","1048.457812898292","本月及本年增加主係承攬工程按完工進度認列營業收入。"
"1150217","11501","3078","僑威","電子零組件業","787796","529175","947457","48.87249019700477","-16.8515299375064","787796","947457","-16.8515299375064","-"
"1150217","11501","3081","聯亞","通信網路業","270770","230664","121540","17.387195227690494","122.78262300477209","270770","121540","122.78262300477209","數據中心產品出貨量較同期增加"
"1150217","11501","3083","網龍","文化創意業","30620","41413","36689","-26.06186463187888","-16.541742756684563","30620","36689","-16.541742756684563","-"
"1150217","11501","3085","新零售","數位雲端","3525","3497","2972","0.8006863025450386","18.60699865410498","3525","2972","18.60699865410498","-"
"1150217","11501","3086","華義","文化創意業","11471","19910","18763","-42.38573581115018","-38.863721153333685","11471","18763","-38.863721153333685","-"
"1150217","11501","3088","艾訊","電腦及週邊設備業","610625","805219","406965","-24.166593187691795","50.04361554433428","610625","406965","50.04361554433428","月營收較去年同期成長50.04%，主係去年農曆春節連假落於 1 月份致基期偏低，另本期台灣及美洲地區專案訂單出貨增加所致。"
"1150217","11501","3093","港建*","其他電子業","130207","101996","68242","27.65892780109024","90.80185223176343","130207","68242","90.80185223176343","主係因機器設備銷售增加所致。"
"1150217","11501","3095","及成","通信網路業","51808","63100","44364","-17.89540412044374","16.779370660896223","51808","44364","16.779370660896223","-"
"1150217","11501","3105","穩懋","半導體業","1467701","1614459","1177334","-9.09022774811872","24.66309475475948","1467701","1177334","24.66309475475948","-"
"1150217","11501","3114","好德","電子零組件業","263953","245135","212319","7.676586370775287","24.319067064181727","263953","212319","24.319067064181727","-"
"1150217","11501","3115","富榮綱","電子零組件業","577","531","935","8.662900188323917","-38.288770053475936","577","935","-38.288770053475936","-"
"1150217","11501","3118","進階","生技醫療業","57188","78676","46063","-27.312013828867762","24.151705273212773","57188","46063","24.151705273212773","-"
"1150217","11501","3122","笙泉","半導體業","29708","25525","27656","16.38785504407444","7.419728087937518","29708","27656","7.419728087937518","-"
"1150217","11501","3128","昇銳","光電業","94187","95647","105963","-1.5264462032264472","-11.113313137604635","94187","105963","-11.113313137604635","-"
"1150217","11501","3131","弘塑","其他電子業","526758","1007414","371041","-47.7118642385355","41.96759926800542","526758","371041","41.96759926800542","-"
