出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1140917","11408","1260","富味鄉","食品工業","445593","400132","457901","11.361500704767426","-2.687917257223723","3461469","3584572","-3.4342454273480905","-"
"1140917","11408","1269","乾杯","觀光餐旅","411842","369624","402477","11.421877367270524","2.326841036879126","3004201","2991956","0.4092640399791976","-"
"1140917","11408","1271","晨暉生技","生技醫療業","69903","85556","68176","-18.295619243536397","2.5331494954236096","619825","621815","-0.3200308773509806","-"
"1140917","11408","1293","利統","食品工業","64055","62280","89734","2.8500321130378934","-28.6168007667105","471800","441511","6.86030472626956","-"
"1140917","11408","1343","旭東環保","綠能環保","83915","68783","212868","21.999621999622","-60.57885638047992","288002","844908","-65.91321185265141","差異係因本期太陽能載具銷售量下降所致。"
"1140917","11408","1480","東盟開發","鋼鐵工業","813768","802824","641226","1.3631879465486831","26.908141591264233","7130750","5936286","20.121402506550393","-"
"1140917","11408","1594","日高","電機機械","41264","38141","40626","8.188039118009492","1.5704228818982917","309261","287866","7.432277518011853","-"
"1140917","11408","1623","大東電","電器電纜","520334","540606","650845","-3.749865891240571","-20.052547073419937","4299550","3568428","20.488629727151565","-"
"1140917","11408","1780","立弘","生技醫療業","66535","72549","58177","-8.28956980799184","14.366502225965588","564500","560057","0.7933121093031602","-"
"1140917","11408","2071","震南鐵","鋼鐵工業","127074","143672","181798","-11.552703379920931","-30.10154127108109","1156982","1039471","11.30488488856351","-"
"1140917","11408","2072","世紀風電","鋼鐵工業","709332","764252","707883","-7.186111387343442","0.20469484363941498","6889994","5776265","19.281127164352743","-"
"1140917","11408","2237","華德動能","電機機械","224965","144727","6628","55.44093361984979","3294.1611345805672","1126985","413398","172.61501023227012","本月銷售電動巴士23輛及維修收入"
"1140917","11408","2245","詠勝昌*","電機機械","32866","43684","44794","-24.76421573116015","-26.628566325847213","278006","272825","1.8990195180060478","-"
"1140917","11408","2249","湧盛","電機機械","146214","130556","176991","11.99332087380128","-17.389019780666814","1727552","1972407","-12.414020027306737","-"
